episode,access_rate
0,0.4799999999999999
1,0.43333333333333335
2,0.4711111111111111
3,0.4733333333333334
4,0.4826666666666667
5,0.48666666666666664
6,0.4895238095238095
7,0.4866666666666667
8,0.4888888888888889
9,0.49200000000000005
10,0.4945454545454545
11,0.5044444444444445
12,0.5097435897435898
13,0.5066666666666666
14,0.5102222222222222
15,0.5083333333333334
16,0.5090196078431373
17,0.5081481481481481
18,0.5101754385964913
19,0.5126666666666667
20,0.5111111111111111
21,0.5084848484848485
22,0.5136231884057971
23,0.515
24,0.5162666666666668
25,0.5174358974358975
26,0.5195061728395062
27,0.5195238095238095
28,0.5227586206896552
29,0.5244444444444445
30,0.523010752688172
31,0.5220833333333333
32,0.5232323232323233
33,0.523137254901961
34,0.5249523809523808
35,0.5233333333333334
36,0.522882882882883
37,0.5228070175438596
38,0.5227350427350428
39,0.5206666666666666
40,0.5216260162601626
41,0.5203174603174603
42,0.52
43,0.5209090909090909
44,0.5223703703703704
45,0.5214492753623189
46,0.5217021276595745
47,0.5216666666666667
48,0.5213605442176872
49,0.5208
50,0.5213071895424836
51,0.52
52,0.520251572327044
53,0.5192592592592593
54,0.5185454545454545
55,0.5185714285714286
56,0.5199999999999999
57,0.5183908045977011
58,0.5179661016949152
59,0.5175555555555555
60,0.5182513661202186
61,0.5189247311827957
62,0.5204232804232805
63,0.5208333333333334
64,0.5216410256410257
65,0.5218181818181817
66,0.5221890547263681
67,0.5215686274509805
68,0.52231884057971
69,0.5226666666666666
70,0.5228169014084506
71,0.5233333333333334
72,0.5231050228310502
73,0.5245045045045046
74,0.5249777777777778
75,0.5247368421052632
76,0.5248484848484849
77,0.5252991452991453
78,0.5250632911392406
79,0.5243333333333333
80,0.5244444444444445
81,0.525040650406504
82,0.5246586345381526
83,0.5258730158730159
84,0.5247058823529411
85,0.5249612403100775
86,0.5255172413793103
87,0.5256060606060605
88,0.5261423220973783
89,0.5259259259259259
90,0.5258608058608059
91,0.5259420289855072
92,0.5268817204301075
93,0.5272340425531915
94,0.527719298245614
95,0.5277777777777778
96,0.5270103092783505
97,0.5280272108843538
98,0.5280808080808082
99,0.5276000000000001
100,0.5272607260726072
101,0.5275816993464053
102,0.5277669902912622
103,0.528076923076923
104,0.5283809523809524
105,0.5279245283018867
106,0.5282242990654206
107,0.5275308641975309
108,0.5278287461773701
109,0.5276363636363636
110,0.5275675675675675
111,0.5280952380952382
112,0.528023598820059
113,0.5286549707602339
114,0.528695652173913
115,0.5283908045977012
116,0.528888888888889
117,0.5292655367231638
118,0.5287394957983192
119,0.5281111111111111
120,0.528374655647383
121,0.5280874316939891
122,0.527479674796748
123,0.5275268817204302
124,0.5274666666666666
125,0.5278306878306879
126,0.5275590551181102
127,0.5273958333333334
128,0.5277519379844962
129,0.5281025641025641
130,0.52793893129771
131,0.5279797979797979
132,0.5279197994987468
133,0.5286567164179105
134,0.5284938271604939
135,0.5287254901960784
136,0.5288564476885644
137,0.5296618357487922
138,0.5294004796163071
139,0.5293333333333333
140,0.5300236406619385
141,0.5304225352112677
142,0.5298834498834499
143,0.5301851851851852
144,0.5297471264367817
145,0.529406392694064
146,0.5296145124716554
147,0.5295495495495495
148,0.5291275167785235
149,0.5288888888888889
150,0.5288300220750551
151,0.5286842105263159
152,0.5290631808278867
153,0.5296103896103896
154,0.5297204301075269
155,0.5299145299145299
156,0.5301910828025478
157,0.529620253164557
158,0.5301467505241091
159,0.5309166666666667
160,0.5311801242236025
161,0.53119341563786
162,0.5312065439672802
163,0.5308943089430894
164,0.5308282828282829
165,0.5307630522088354
166,0.5310179640718563
167,0.5308730158730158
168,0.5309664694280078
169,0.5313725490196077
170,0.5318518518518518
171,0.5317829457364341
172,0.5319460500963391
